city,state,population
Crystal Lake ,IL,"41,797"
Cudahy ,CA,"24,334"
Culver City ,CA,"38,580"
Cupertino ,CA,"53,637"
Cutler Bay,FL,"29,070"
Cuyahoga Falls ,OH,"51,090"
Cypress ,CA,"47,123"
Dallas ,TX,"1,279,910"
Dalton ,GA,"33,648"
Daly City ,CA,"101,514"
Dana Point ,CA,"35,700"
Danbury ,CT,"79,256"
Dania Beach ,FL,"28,093"
Danville,CA,"41,182"
Danville ,VA,"44,660"
Davenport ,IA,"100,827"
Davie,FL,"90,238"
Davis ,CA,"62,593"
Dayton ,OH,"154,200"
Daytona Beach ,FL,"64,211"
De Land ,FL,"27,243"
De Pere ,WI,"24,779"
Dearborn ,MI,"86,477"
Dearborn Heights ,MI,"51,972"
Decatur ,IL,"76,256"
Deer Park ,TX,"30,890"
Deerfield Beach ,FL,"74,584"
DeKalb ,IL,"45,497"
Del Rio ,TX,"36,682"
Delano ,CA,"53,051"
Delaware ,OH,"33,719"
Delray Beach ,FL,"64,092"
Deltona ,FL,"84,408"
Denison ,TX,"24,001"
Denton ,TX,"119,454"
Denver ,CO,"598,707"
Des Moines ,IA,"197,052"
Des Plaines ,IL,"57,062"
Desert Hot Springs ,CA,"24,489"
DeSoto ,TX,"47,568"
Detroit ,MI,"912,062"
Diamond Bar ,CA,"57,235"
Dodge City ,KS,"25,689"
Dolton,IL,"23,889"
Doral ,FL,"23,974"
Dothan ,AL,"66,505"
Douglasville ,GA,"31,035"
Dover ,DE,"36,107"
Downers Grove,IL,"49,250"
Downey ,CA,"107,587"
Draper ,UT,"42,317"
Dublin ,CA,"44,297"
Dubuque ,IA,"57,250"
Duluth ,MN,"84,284"
Duncanville ,TX,"36,109"
Dunedin ,FL,"35,988"
Durham ,NC,"223,284"
Eagan ,MN,"63,985"
Eagle Pass ,TX,"26,668"
East Chicago ,IN,"29,978"
East Cleveland ,OH,"24,507"
East Lansing ,MI,"45,857"
East Orange ,NJ,"65,390"
East Palo Alto ,CA,"33,575"
East Point ,GA,"43,418"
East Providence ,RI,"48,480"
East St. Louis ,IL,"28,773"
Easton ,PA,"26,080"
Eastpointe ,MI,"32,497"
Eau Claire ,WI,"65,426"
Eden Prairie ,MN,"61,191"
Edina ,MN,"45,608"
Edinburg ,TX,"71,520"
Edmond ,OK,"79,559"
Edmonds ,WA,"40,158"
Edwardsville ,IL,"24,557"
El Cajon ,CA,"92,718"
El Centro ,CA,"40,083"
El Mirage ,AZ,"24,751"
El Monte ,CA,"121,791"
El Paso ,TX,"613,190"
Elgin ,IL,"106,330"
Elizabeth ,NJ,"124,755"
Elizabethtown ,KY,"24,144"
Elk Grove ,CA,"133,003"
Elk Grove Village,IL,"33,320"
Elk River ,MN,"23,194"
Elkhart ,IN,"52,653"
Elmhurst ,IL,"46,013"
Elmira ,NY,"29,271"
Elmwood Park,IL,"24,052"
Elyria ,OH,"54,979"
Emporia ,KS,"26,380"
Encinitas ,CA,"60,372"
Englewood ,CO,"32,669"
Enid ,OK,"47,396"
Enterprise ,AL,"25,351"
Erie ,PA,"103,817"
Escondido ,CA,"137,103"
Euclid ,OH,"47,415"
Eugene ,OR,"150,104"
Euless ,TX,"52,579"
Eureka ,CA,"25,300"
Evanston ,IL,"77,693"
Evansville ,IN,"116,309"
Everett ,WA,"98,212"
Fair Lawn,NJ,"30,521"
Fairbanks ,AK,"35,132"
Fairborn ,OH,"32,366"
Fairfax ,VA,"23,844"
Fairfield ,CA,"103,683"
Fall River ,MA,"90,931"
Fargo ,ND,"93,531"
Farmers Branch ,TX,"26,455"
Farmington ,NM,"42,637"
Farmington Hills ,MI,"78,522"
Fayetteville ,NC,"174,091"
Federal Way ,WA,"84,309"
Findlay ,OH,"36,987"
Fishers,IN,"69,011"
Fitchburg ,MA,"40,239"
Flagstaff ,AZ,"60,222"
Flint ,MI,"112,900"
Florence ,AL,"37,877"
Florissant ,MO,"50,561"
Flower Mound,TX,"69,307"
Folsom ,CA,"67,788"
Fond du Lac ,WI,"42,025"
Fontana ,CA,"184,984"
Fort Collins ,CO,"136,509"
Fort Dodge ,IA,"25,180"
Fort Lauderdale ,FL,"183,126"
Fort Lee,NJ,"36,275"
Fort Myers ,FL,"65,394"
Fort Pierce ,FL,"40,885"
Fort Smith ,AR,"84,716"
Fort Wayne ,IN,"251,591"
Fort Worth ,TX,"703,073"
Foster City ,CA,"29,089"
Fountain Hills,AZ,"25,227"
Fountain Valley ,CA,"55,516"
Frankfort ,KY,"27,322"
Franklin ,TN,"58,481"
Frederick ,MD,"59,213"
Freeport,NY,"43,881"
Freeport ,IL,"24,615"
Fremont ,CA,"202,867"
Fresno ,CA,"476,050"
Fridley ,MN,"25,868"
Friendswood ,TX,"33,979"
Frisco ,TX,"96,676"
Fullerton ,CA,"131,868"
Gadsden ,AL,"36,816"
Gahanna ,OH,"33,892"
Gainesville ,FL,"114,916"
Gaithersburg ,MD,"58,744"
Galesburg ,IL,"31,181"
Gallatin ,TN,"29,343"
Galt ,CA,"24,026"
Galveston ,TX,"57,086"
Garden City ,KS,"28,557"
Garden Grove ,CA,"165,796"
Gardena ,CA,"58,554"
Garfield ,NJ,"28,971"
Garfield Heights ,OH,"27,734"
Garland ,TX,"218,577"
Garner,NC,"27,138"
Gary ,IN,"95,920"
Gastonia ,NC,"72,505"
Geneva ,IL,"24,302"
Georgetown ,TX,"49,618"
Germantown ,TN,"37,251"
Gilbert,AZ,"216,449"
Gillette ,WY,"26,871"
Gilroy ,CA,"49,934"
Gladstone ,MO,"28,243"
Glen Cove ,NY,"26,895"
Glen Ellyn,IL,"27,142"
Glendale ,AZ,"251,522"
Glendale Heights,IL,"31,847"
Glendora ,CA,"49,410"
Glenview,IL,"46,180"
Gloucester ,MA,"30,243"
Goldsboro ,NC,"37,597"
Goleta ,CA,"29,404"
Goodyear ,AZ,"59,508"
Goose Creek ,SC,"37,900"
Goshen ,IN,"32,630"
Grand Forks ,ND,"51,313"
Grand Island ,NE,"45,801"
Grand Junction ,CO,"49,688"
Grand Prairie ,TX,"160,641"
Grand Rapids ,MI,"193,396"
